user_id,prediction(adopter)
5.0,True
41.0,False
77.0,False
99.0,False
106.0,False
108.0,False
159.0,False
249.0,True
256.0,True
263.0,True
288.0,True
303.0,False
323.0,False
333.0,False
371.0,False
381.0,False
399.0,False
411.0,False
412.0,True
437.0,False
462.0,True
470.0,True
473.0,False
500.0,True
535.0,True
550.0,False
551.0,True
559.0,False
585.0,True
603.0,False
623.0,False
630.0,True
641.0,True
698.0,False
719.0,False
722.0,False
724.0,True
727.0,False
775.0,True
812.0,False
823.0,True
855.0,True
878.0,False
897.0,False
909.0,True
922.0,False
926.0,False
931.0,False
969.0,False
988.0,False
995.0,False
1013.0,False
1040.0,False
1053.0,False
1066.0,False
1110.0,False
1116.0,False
1129.0,False
1149.0,True
1162.0,False
1203.0,True
1249.0,True
1268.0,False
1283.0,True
1335.0,True
1350.0,False
1353.0,True
1384.0,False
1387.0,True
1407.0,False
1433.0,True
1481.0,True
1496.0,True
1508.0,False
1552.0,True
1567.0,True
1585.0,False
1596.0,True
1598.0,True
1624.0,True
1628.0,False
1640.0,False
1648.0,False
1667.0,False
1709.0,True
1725.0,False
1737.0,False
1773.0,True
1789.0,True
1840.0,False
1870.0,False
1874.0,False
1912.0,False
1979.0,True
1989.0,False
2000.0,False
2015.0,False
2024.0,True
2035.0,False
2048.0,True
2078.0,True
2140.0,True
2182.0,False
2188.0,False
2194.0,False
2233.0,False
2238.0,False
2246.0,False
2282.0,False
2285.0,True
2316.0,False
2349.0,False
2365.0,False
2373.0,False
2395.0,False
2423.0,True
2432.0,False
2445.0,False
2451.0,True
2479.0,True
2483.0,False
2515.0,True
2518.0,False
2564.0,False
2567.0,False
2592.0,False
2603.0,False
2610.0,False
2632.0,True
2641.0,True
2648.0,False
2676.0,False
2699.0,False
2733.0,True
2737.0,True
2765.0,True
2777.0,False
2797.0,False
2803.0,True
2804.0,False
2840.0,False
2841.0,True
2846.0,True
2858.0,False
2894.0,False
2901.0,False
2916.0,False
2930.0,False
2931.0,False
2964.0,True
2968.0,False
2974.0,False
2991.0,False
2994.0,False
2995.0,False
3001.0,True
3042.0,False
3045.0,True
3069.0,True
3097.0,True
3113.0,False
3135.0,False
3154.0,False
3163.0,False
3191.0,False
3192.0,False
3236.0,False
3251.0,True
3257.0,True
3269.0,True
3310.0,False
3312.0,False
3314.0,False
3384.0,False
3396.0,False
3399.0,False
3438.0,True
3493.0,False
3536.0,True
3573.0,False
3605.0,False
3626.0,False
3686.0,True
3729.0,True
3756.0,True
3812.0,False
3857.0,False
3859.0,True
3883.0,False
3894.0,True
3960.0,True
3987.0,False
4000.0,True
4022.0,False
4073.0,False
